,acronym,graph_id,graph_order,id,name,structure_id_path,structure_set_ids,rgb_triplet
147,VISp5,1,189,778,"Primary visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 385, 778]","[396673091, 691663206, 667481446, 12, 184527634]","[8, 133, 140]"
148,VISp6a,1,190,33,"Primary visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 385, 33]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
149,VISp6b,1,191,305,"Primary visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 385, 305]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
150,VISpl,1,192,425,Posterolateral visual area,"[997, 8, 567, 688, 695, 315, 669, 425]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[8, 133, 140]"
151,VISpl1,1,193,750,"Posterolateral visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 425, 750]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
152,VISpl2/3,1,194,269,"Posterolateral visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 425, 269]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
153,VISpl4,1,195,869,"Posterolateral visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 425, 869]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
154,VISpl5,1,196,902,"Posterolateral visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 425, 902]","[396673091, 667481446, 691663206, 12, 184527634]","[8, 133, 140]"
155,VISpl6a,1,197,377,"Posterolateral visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 425, 377]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
156,VISpl6b,1,198,393,"Posterolateral visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 425, 393]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
157,VISpm,1,199,533,posteromedial visual area,"[997, 8, 567, 688, 695, 315, 669, 533]","[396673091, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 514166994, 112905813, 167587189, 114512891]","[8, 133, 140]"
158,VISpm1,1,200,805,"posteromedial visual area, layer 1","[997, 8, 567, 688, 695, 315, 669, 533, 805]","[667481440, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
159,VISpm2/3,1,201,41,"posteromedial visual area, layer 2/3","[997, 8, 567, 688, 695, 315, 669, 533, 41]","[667481441, 396673091, 691663206, 12, 184527634]","[8, 133, 140]"
160,VISpm4,1,202,501,"posteromedial visual area, layer 4","[997, 8, 567, 688, 695, 315, 669, 533, 501]","[396673091, 667481445, 691663206, 12, 184527634]","[8, 133, 140]"
161,VISpm5,1,203,565,"posteromedial visual area, layer 5","[997, 8, 567, 688, 695, 315, 669, 533, 565]","[396673091, 691663206, 667481446, 12, 184527634]","[8, 133, 140]"
162,VISpm6a,1,204,257,"posteromedial visual area, layer 6a","[997, 8, 567, 688, 695, 315, 669, 533, 257]","[396673091, 691663206, 667481449, 12, 184527634]","[8, 133, 140]"
163,VISpm6b,1,205,469,"posteromedial visual area, layer 6b","[997, 8, 567, 688, 695, 315, 669, 533, 469]","[396673091, 691663206, 667481450, 12, 184527634]","[8, 133, 140]"
164,ACA,1,220,31,Anterior cingulate area,"[997, 8, 567, 688, 695, 315, 31]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[64, 166, 102]"
165,ACAd,1,226,39,"Anterior cingulate area, dorsal part","[997, 8, 567, 688, 695, 315, 31, 39]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[64, 166, 102]"
166,ACAd1,1,227,935,"Anterior cingulate area, dorsal part, layer 1","[997, 8, 567, 688, 695, 315, 31, 39, 935]","[667481440, 184527634, 12, 691663206]","[64, 166, 102]"
167,ACAd2/3,1,228,211,"Anterior cingulate area, dorsal part, layer 2/3","[997, 8, 567, 688, 695, 315, 31, 39, 211]","[667481441, 184527634, 12, 691663206]","[64, 166, 102]"
168,ACAd5,1,229,1015,"Anterior cingulate area, dorsal part, layer 5","[997, 8, 567, 688, 695, 315, 31, 39, 1015]","[184527634, 12, 667481446, 691663206]","[64, 166, 102]"
169,ACAd6a,1,230,919,"Anterior cingulate area, dorsal part, layer 6a","[997, 8, 567, 688, 695, 315, 31, 39, 919]","[667481449, 184527634, 12, 691663206]","[64, 166, 102]"
170,ACAd6b,1,231,927,"Anterior cingulate area, dorsal part, layer 6b","[997, 8, 567, 688, 695, 315, 31, 39, 927]","[667481450, 184527634, 12, 691663206]","[64, 166, 102]"
171,ACAv,1,232,48,"Anterior cingulate area, ventral part","[997, 8, 567, 688, 695, 315, 31, 48]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[64, 166, 102]"
172,ACAv1,1,233,588,"Anterior cingulate area, ventral part, layer 1","[997, 8, 567, 688, 695, 315, 31, 48, 588]","[667481440, 184527634, 12, 691663206]","[64, 166, 102]"
173,ACAv2/3,1,234,296,"Anterior cingulate area, ventral part, layer 2/3","[997, 8, 567, 688, 695, 315, 31, 48, 296]","[667481441, 184527634, 12, 691663206]","[64, 166, 102]"
174,ACAv5,1,235,772,"Anterior cingulate area, ventral part, layer 5","[997, 8, 567, 688, 695, 315, 31, 48, 772]","[184527634, 12, 667481446, 691663206]","[64, 166, 102]"
175,ACAv6a,1,236,810,"Anterior cingulate area, ventral part, 6a","[997, 8, 567, 688, 695, 315, 31, 48, 810]","[667481449, 184527634, 12, 691663206]","[64, 166, 102]"
176,ACAv6b,1,237,819,"Anterior cingulate area, ventral part, 6b","[997, 8, 567, 688, 695, 315, 31, 48, 819]","[667481450, 184527634, 12, 691663206]","[64, 166, 102]"
177,PL,1,238,972,Prelimbic area,"[997, 8, 567, 688, 695, 315, 972]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[47, 168, 80]"
178,PL1,1,239,171,"Prelimbic area, layer 1","[997, 8, 567, 688, 695, 315, 972, 171]","[667481440, 184527634, 12, 691663206]","[47, 168, 80]"
179,PL2,1,240,195,"Prelimbic area, layer 2","[997, 8, 567, 688, 695, 315, 972, 195]",[12],"[47, 168, 80]"
180,PL2/3,1,241,304,"Prelimbic area, layer 2/3","[997, 8, 567, 688, 695, 315, 972, 304]","[667481441, 184527634, 12, 691663206]","[47, 168, 80]"
181,PL5,1,242,363,"Prelimbic area, layer 5","[997, 8, 567, 688, 695, 315, 972, 363]","[184527634, 12, 667481446, 691663206]","[47, 168, 80]"
182,PL6a,1,243,84,"Prelimbic area, layer 6a","[997, 8, 567, 688, 695, 315, 972, 84]","[667481449, 184527634, 12, 691663206]","[47, 168, 80]"
183,PL6b,1,244,132,"Prelimbic area, layer 6b","[997, 8, 567, 688, 695, 315, 972, 132]","[667481450, 184527634, 12, 691663206]","[47, 168, 80]"
184,ILA,1,245,44,Infralimbic area,"[997, 8, 567, 688, 695, 315, 44]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[89, 179, 99]"
185,ILA1,1,246,707,"Infralimbic area, layer 1","[997, 8, 567, 688, 695, 315, 44, 707]","[667481440, 184527634, 12, 691663206]","[89, 179, 99]"
186,ILA2,1,247,747,"Infralimbic area, layer 2","[997, 8, 567, 688, 695, 315, 44, 747]",[12],"[89, 179, 99]"
187,ILA2/3,1,248,556,"Infralimbic area, layer 2/3","[997, 8, 567, 688, 695, 315, 44, 556]","[667481441, 184527634, 12, 691663206]","[89, 179, 99]"
188,ILA5,1,249,827,"Infralimbic area, layer 5","[997, 8, 567, 688, 695, 315, 44, 827]","[184527634, 12, 667481446, 691663206]","[89, 179, 99]"
189,ILA6a,1,250,1054,"Infralimbic area, layer 6a","[997, 8, 567, 688, 695, 315, 44, 1054]","[667481449, 184527634, 12, 691663206]","[89, 179, 99]"
190,ILA6b,1,251,1081,"Infralimbic area, layer 6b","[997, 8, 567, 688, 695, 315, 44, 1081]","[184527634, 12, 667481450, 691663206]","[89, 179, 99]"
191,ORB,1,252,714,Orbital area,"[997, 8, 567, 688, 695, 315, 714]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[36, 138, 94]"
192,ORBl,1,258,723,"Orbital area, lateral part","[997, 8, 567, 688, 695, 315, 714, 723]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[36, 138, 94]"
193,ORBl1,1,259,448,"Orbital area, lateral part, layer 1","[997, 8, 567, 688, 695, 315, 714, 723, 448]","[667481440, 184527634, 12, 691663206]","[36, 138, 94]"
194,ORBl2/3,1,260,412,"Orbital area, lateral part, layer 2/3","[997, 8, 567, 688, 695, 315, 714, 723, 412]","[667481441, 184527634, 12, 691663206]","[36, 138, 94]"
195,ORBl5,1,261,630,"Orbital area, lateral part, layer 5","[997, 8, 567, 688, 695, 315, 714, 723, 630]","[184527634, 12, 667481446, 691663206]","[36, 138, 94]"
196,ORBl6a,1,262,440,"Orbital area, lateral part, layer 6a","[997, 8, 567, 688, 695, 315, 714, 723, 440]","[667481449, 184527634, 12, 691663206]","[36, 138, 94]"
197,ORBm,1,264,731,"Orbital area, medial part","[997, 8, 567, 688, 695, 315, 714, 731]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[36, 138, 94]"
198,ORBm1,1,265,484,"Orbital area, medial part, layer 1","[997, 8, 567, 688, 695, 315, 714, 731, 484]","[667481440, 184527634, 12, 691663206]","[36, 138, 94]"
199,ORBm2,1,266,524,"Orbital area, medial part, layer 2","[997, 8, 567, 688, 695, 315, 714, 731, 524]",[12],"[36, 138, 94]"
200,ORBm2/3,1,267,582,"Orbital area, medial part, layer 2/3","[997, 8, 567, 688, 695, 315, 714, 731, 582]","[667481441, 184527634, 12, 691663206]","[36, 138, 94]"
201,ORBm5,1,268,620,"Orbital area, medial part, layer 5","[997, 8, 567, 688, 695, 315, 714, 731, 620]","[184527634, 12, 667481446, 691663206]","[36, 138, 94]"
202,ORBm6a,1,269,910,"Orbital area, medial part, layer 6a","[997, 8, 567, 688, 695, 315, 714, 731, 910]","[667481449, 184527634, 12, 691663206]","[36, 138, 94]"
203,ORBvl,1,272,746,"Orbital area, ventrolateral part","[997, 8, 567, 688, 695, 315, 714, 746]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[36, 138, 94]"
204,ORBvl1,1,273,969,"Orbital area, ventrolateral part, layer 1","[997, 8, 567, 688, 695, 315, 714, 746, 969]","[667481440, 184527634, 12, 691663206]","[36, 138, 94]"
205,ORBvl2/3,1,274,288,"Orbital area, ventrolateral part, layer 2/3","[997, 8, 567, 688, 695, 315, 714, 746, 288]","[667481441, 184527634, 12, 691663206]","[36, 138, 94]"
206,ORBvl5,1,275,1125,"Orbital area, ventrolateral part, layer 5","[997, 8, 567, 688, 695, 315, 714, 746, 1125]","[184527634, 12, 667481446, 691663206]","[36, 138, 94]"
207,ORBvl6a,1,276,608,"Orbital area, ventrolateral part, layer 6a","[997, 8, 567, 688, 695, 315, 714, 746, 608]","[667481449, 184527634, 12, 691663206]","[36, 138, 94]"
208,AI,1,278,95,Agranular insular area,"[997, 8, 567, 688, 695, 315, 95]","[3, 112905828, 691663206, 12, 184527634, 114512891]","[33, 152, 102]"
209,AId,1,279,104,"Agranular insular area, dorsal part","[997, 8, 567, 688, 695, 315, 95, 104]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[33, 152, 102]"
210,AId1,1,280,996,"Agranular insular area, dorsal part, layer 1","[997, 8, 567, 688, 695, 315, 95, 104, 996]","[667481440, 184527634, 12, 691663206]","[33, 152, 102]"
211,AId2/3,1,281,328,"Agranular insular area, dorsal part, layer 2/3","[997, 8, 567, 688, 695, 315, 95, 104, 328]","[667481441, 184527634, 12, 691663206]","[33, 152, 102]"
212,AId5,1,282,1101,"Agranular insular area, dorsal part, layer 5","[997, 8, 567, 688, 695, 315, 95, 104, 1101]","[184527634, 12, 667481446, 691663206]","[33, 152, 102]"
213,AId6a,1,283,783,"Agranular insular area, dorsal part, layer 6a","[997, 8, 567, 688, 695, 315, 95, 104, 783]","[667481449, 184527634, 12, 691663206]","[33, 152, 102]"
214,AIp,1,285,111,"Agranular insular area, posterior part","[997, 8, 567, 688, 695, 315, 95, 111]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[33, 152, 102]"
215,AIp1,1,286,120,"Agranular insular area, posterior part, layer 1","[997, 8, 567, 688, 695, 315, 95, 111, 120]","[667481440, 184527634, 12, 691663206]","[33, 152, 102]"
216,AIp2/3,1,287,163,"Agranular insular area, posterior part, layer 2/3","[997, 8, 567, 688, 695, 315, 95, 111, 163]","[667481441, 184527634, 12, 691663206]","[33, 152, 102]"
217,AIp5,1,288,344,"Agranular insular area, posterior part, layer 5","[997, 8, 567, 688, 695, 315, 95, 111, 344]","[184527634, 12, 667481446, 691663206]","[33, 152, 102]"
218,AIp6a,1,289,314,"Agranular insular area, posterior part, layer 6a","[997, 8, 567, 688, 695, 315, 95, 111, 314]","[667481449, 184527634, 12, 691663206]","[33, 152, 102]"
219,AIv,1,291,119,"Agranular insular area, ventral part","[997, 8, 567, 688, 695, 315, 95, 119]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[33, 152, 102]"
220,AIv1,1,292,704,"Agranular insular area, ventral part, layer 1","[997, 8, 567, 688, 695, 315, 95, 119, 704]","[667481440, 184527634, 12, 691663206]","[33, 152, 102]"
221,AIv2/3,1,293,694,"Agranular insular area, ventral part, layer 2/3","[997, 8, 567, 688, 695, 315, 95, 119, 694]","[667481441, 184527634, 12, 691663206]","[33, 152, 102]"
222,AIv5,1,294,800,"Agranular insular area, ventral part, layer 5","[997, 8, 567, 688, 695, 315, 95, 119, 800]","[667481446, 184527634, 12, 691663206]","[33, 152, 102]"
223,AIv6a,1,295,675,"Agranular insular area, ventral part, layer 6a","[997, 8, 567, 688, 695, 315, 95, 119, 675]","[667481449, 184527634, 12, 691663206]","[33, 152, 102]"
224,RSP,1,297,254,Retrosplenial area,"[997, 8, 567, 688, 695, 315, 254]","[3, 112905828, 691663206, 10, 12, 184527634, 112905813, 114512891]","[26, 166, 152]"
225,RSPagl,1,298,894,"Retrosplenial area, lateral agranular part","[997, 8, 567, 688, 695, 315, 254, 894]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 112905813, 114512891]","[26, 166, 152]"
226,RSPagl1,1,299,671,"Retrosplenial area, lateral agranular part, layer 1","[997, 8, 567, 688, 695, 315, 254, 894, 671]","[667481440, 184527634, 12, 691663206]","[26, 166, 152]"
227,RSPagl2/3,1,300,965,"Retrosplenial area, lateral agranular part, layer 2/3","[997, 8, 567, 688, 695, 315, 254, 894, 965]","[667481441, 184527634, 12, 691663206]","[26, 166, 152]"
228,RSPagl5,1,301,774,"Retrosplenial area, lateral agranular part, layer 5","[997, 8, 567, 688, 695, 315, 254, 894, 774]","[184527634, 12, 667481446, 691663206]","[26, 166, 152]"
229,RSPagl6a,1,302,906,"Retrosplenial area, lateral agranular part, layer 6a","[997, 8, 567, 688, 695, 315, 254, 894, 906]","[667481449, 184527634, 12, 691663206]","[26, 166, 152]"
230,RSPagl6b,1,303,279,"Retrosplenial area, lateral agranular part, layer 6b","[997, 8, 567, 688, 695, 315, 254, 894, 279]","[184527634, 12, 667481450, 691663206]","[26, 166, 152]"
231,RSPd,1,325,879,"Retrosplenial area, dorsal part","[997, 8, 567, 688, 695, 315, 254, 879]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[26, 166, 152]"
232,RSPd1,1,326,442,"Retrosplenial area, dorsal part, layer 1","[997, 8, 567, 688, 695, 315, 254, 879, 442]","[667481440, 184527634, 12, 691663206]","[26, 166, 152]"
233,RSPd2/3,1,327,434,"Retrosplenial area, dorsal part, layer 2/3","[997, 8, 567, 688, 695, 315, 254, 879, 434]","[667481441, 184527634, 12, 691663206]","[26, 166, 152]"
234,RSPd5,1,329,610,"Retrosplenial area, dorsal part, layer 5","[997, 8, 567, 688, 695, 315, 254, 879, 610]","[184527634, 12, 667481446, 691663206]","[26, 166, 152]"
235,RSPd6a,1,330,274,"Retrosplenial area, dorsal part, layer 6a","[997, 8, 567, 688, 695, 315, 254, 879, 274]","[667481449, 184527634, 12, 691663206]","[26, 166, 152]"
236,RSPd6b,1,331,330,"Retrosplenial area, dorsal part, layer 6b","[997, 8, 567, 688, 695, 315, 254, 879, 330]","[667481450, 184527634, 12, 691663206]","[26, 166, 152]"
237,RSPv,1,332,886,"Retrosplenial area, ventral part","[997, 8, 567, 688, 695, 315, 254, 886]","[112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[26, 166, 152]"
238,RSPv1,1,333,542,"Retrosplenial area, ventral part, layer 1","[997, 8, 567, 688, 695, 315, 254, 886, 542]","[667481440, 184527634, 12, 691663206]","[26, 166, 152]"
239,RSPv2,1,334,606,"Retrosplenial area, ventral part, layer 2","[997, 8, 567, 688, 695, 315, 254, 886, 606]",[12],"[26, 166, 152]"
240,RSPv2/3,1,335,430,"Retrosplenial area, ventral part, layer 2/3","[997, 8, 567, 688, 695, 315, 254, 886, 430]","[667481441, 184527634, 12, 691663206]","[26, 166, 152]"
241,RSPv5,1,336,687,"Retrosplenial area, ventral part, layer 5","[997, 8, 567, 688, 695, 315, 254, 886, 687]","[184527634, 12, 667481446, 691663206]","[26, 166, 152]"
242,RSPv6a,1,337,590,"Retrosplenial area, ventral part, layer 6a","[997, 8, 567, 688, 695, 315, 254, 886, 590]","[667481449, 184527634, 12, 691663206]","[26, 166, 152]"
243,RSPv6b,1,338,622,"Retrosplenial area, ventral part, layer 6b","[997, 8, 567, 688, 695, 315, 254, 886, 622]","[667481450, 184527634, 12, 691663206]","[26, 166, 152]"
244,PTLp,1,339,22,Posterior parietal association areas,"[997, 8, 567, 688, 695, 315, 22]","[3, 112905828, 691663206, 12, 184527634, 112905813, 114512891]","[0, 159, 172]"
245,PTLp1,1,340,532,"Posterior parietal association areas, layer 1","[997, 8, 567, 688, 695, 315, 22, 532]",[12],"[0, 159, 172]"
246,PTLp2/3,1,341,241,"Posterior parietal association areas, layer 2/3","[997, 8, 567, 688, 695, 315, 22, 241]",[12],"[0, 159, 172]"
247,PTLp4,1,342,635,"Posterior parietal association areas, layer 4","[997, 8, 567, 688, 695, 315, 22, 635]",[12],"[0, 159, 172]"
248,PTLp5,1,343,683,"Posterior parietal association areas, layer 5","[997, 8, 567, 688, 695, 315, 22, 683]",[12],"[0, 159, 172]"
249,PTLp6a,1,344,308,"Posterior parietal association areas, layer 6a","[997, 8, 567, 688, 695, 315, 22, 308]","[12, 112905813]","[0, 159, 172]"
250,PTLp6b,1,345,340,"Posterior parietal association areas, layer 6b","[997, 8, 567, 688, 695, 315, 22, 340]","[12, 112905813]","[0, 159, 172]"
251,TEa,1,360,541,Temporal association areas,"[997, 8, 567, 688, 695, 315, 541]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[21, 176, 179]"
252,TEa1,1,361,97,"Temporal association areas, layer 1","[997, 8, 567, 688, 695, 315, 541, 97]","[667481440, 184527634, 12, 691663206]","[21, 176, 179]"
253,TEa2/3,1,362,1127,"Temporal association areas, layer 2/3","[997, 8, 567, 688, 695, 315, 541, 1127]","[667481441, 184527634, 12, 691663206]","[21, 176, 179]"
254,TEa4,1,363,234,"Temporal association areas, layer 4","[997, 8, 567, 688, 695, 315, 541, 234]","[184527634, 12, 667481445, 691663206]","[21, 176, 179]"
255,TEa5,1,364,289,"Temporal association areas, layer 5","[997, 8, 567, 688, 695, 315, 541, 289]","[184527634, 12, 667481446, 691663206]","[21, 176, 179]"
256,TEa6a,1,365,729,"Temporal association areas, layer 6a","[997, 8, 567, 688, 695, 315, 541, 729]","[667481449, 184527634, 12, 691663206]","[21, 176, 179]"
257,TEa6b,1,366,786,"Temporal association areas, layer 6b","[997, 8, 567, 688, 695, 315, 541, 786]","[184527634, 12, 667481450, 691663206]","[21, 176, 179]"
258,PERI,1,367,922,Perirhinal area,"[997, 8, 567, 688, 695, 315, 922]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189]","[14, 150, 132]"
259,PERI1,1,368,540,"Perirhinal area, layer 1","[997, 8, 567, 688, 695, 315, 922, 540]","[667481440, 184527634, 12, 691663206]","[14, 150, 132]"
260,PERI2/3,1,369,888,"Perirhinal area, layer 2/3","[997, 8, 567, 688, 695, 315, 922, 888]","[667481441, 184527634, 12, 691663206]","[14, 150, 132]"
261,PERI5,1,370,692,"Perirhinal area, layer 5","[997, 8, 567, 688, 695, 315, 922, 692]","[184527634, 12, 667481446, 691663206]","[14, 150, 132]"
262,PERI6a,1,371,335,"Perirhinal area, layer 6a","[997, 8, 567, 688, 695, 315, 922, 335]","[667481449, 184527634, 12, 691663206]","[14, 150, 132]"
263,PERI6b,1,372,368,"Perirhinal area, layer 6b","[997, 8, 567, 688, 695, 315, 922, 368]","[667481450, 184527634, 12, 691663206]","[14, 150, 132]"
264,ECT,1,373,895,Ectorhinal area,"[997, 8, 567, 688, 695, 315, 895]","[3, 112905828, 688152357, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[13, 159, 145]"
265,ECT1,1,374,836,Ectorhinal area/Layer 1,"[997, 8, 567, 688, 695, 315, 895, 836]","[667481440, 184527634, 12, 691663206]","[13, 159, 145]"
266,ECT2/3,1,375,427,Ectorhinal area/Layer 2/3,"[997, 8, 567, 688, 695, 315, 895, 427]","[667481441, 184527634, 12, 691663206]","[13, 159, 145]"
267,ECT5,1,376,988,Ectorhinal area/Layer 5,"[997, 8, 567, 688, 695, 315, 895, 988]","[184527634, 12, 667481446, 691663206]","[13, 159, 145]"
268,ECT6a,1,377,977,Ectorhinal area/Layer 6a,"[997, 8, 567, 688, 695, 315, 895, 977]","[667481449, 184527634, 12, 691663206]","[13, 159, 145]"
269,ECT6b,1,378,1045,Ectorhinal area/Layer 6b,"[997, 8, 567, 688, 695, 315, 895, 1045]","[667481450, 184527634, 12, 691663206]","[13, 159, 145]"
270,OLF,1,379,698,Olfactory areas,"[997, 8, 567, 688, 695, 698]","[2, 3, 112905828, 691663206, 12, 184527634, 112905813, 687527670, 114512891, 114512892]","[154, 210, 189]"
271,MOB,1,380,507,Main olfactory bulb,"[997, 8, 567, 688, 695, 698, 507]","[112905828, 691663206, 688152358, 687527945, 12, 184527634, 167587189, 114512891]","[154, 210, 189]"
272,MOBgl,1,381,212,"Main olfactory bulb, glomerular layer","[997, 8, 567, 688, 695, 698, 507, 212]","[10, 12]","[130, 199, 174]"
273,MOBgr,1,382,220,"Main olfactory bulb, granule layer","[997, 8, 567, 688, 695, 698, 507, 220]","[10, 12]","[130, 199, 174]"
274,MOBipl,1,383,228,"Main olfactory bulb, inner plexiform layer","[997, 8, 567, 688, 695, 698, 507, 228]",[12],"[154, 210, 189]"
275,MOBmi,1,384,236,"Main olfactory bulb, mitral layer","[997, 8, 567, 688, 695, 698, 507, 236]","[10, 12]","[130, 199, 174]"
276,MOBopl,1,385,244,"Main olfactory bulb, outer plexiform layer","[997, 8, 567, 688, 695, 698, 507, 244]",[12],"[154, 210, 189]"
277,AOB,1,386,151,Accessory olfactory bulb,"[997, 8, 567, 688, 695, 698, 151]","[112905828, 688152358, 691663206, 687527945, 10, 12, 184527634, 167587189, 114512891]","[157, 240, 210]"
278,AOBgl,1,387,188,"Accessory olfactory bulb, glomerular layer","[997, 8, 567, 688, 695, 698, 151, 188]","[184527634, 12, 691663206]","[157, 240, 210]"
279,AOBgr,1,388,196,"Accessory olfactory bulb, granular layer","[997, 8, 567, 688, 695, 698, 151, 196]","[184527634, 12, 691663206]","[149, 228, 200]"
280,AOBmi,1,389,204,"Accessory olfactory bulb, mitral layer","[997, 8, 567, 688, 695, 698, 151, 204]","[184527634, 12, 691663206]","[157, 240, 210]"
281,AON,1,390,159,Anterior olfactory nucleus,"[997, 8, 567, 688, 695, 698, 159]","[112905828, 691663206, 688152358, 687527945, 10, 12, 184527634, 112905813, 167587189, 114512891, 114512892]","[84, 191, 148]"
282,AONd,1,391,167,"Anterior olfactory nucleus, dorsal part","[997, 8, 567, 688, 695, 698, 159, 167]",[12],"[84, 191, 148]"
283,AONe,1,392,175,"Anterior olfactory nucleus, external part","[997, 8, 567, 688, 695, 698, 159, 175]",[12],"[84, 191, 148]"
284,AONl,1,393,183,"Anterior olfactory nucleus, lateral part","[997, 8, 567, 688, 695, 698, 159, 183]",[12],"[84, 191, 148]"
285,AONm,1,394,191,"Anterior olfactory nucleus, medial part","[997, 8, 567, 688, 695, 698, 159, 191]",[12],"[84, 191, 148]"
286,AONpv,1,395,199,"Anterior olfactory nucleus, posteroventral part","[997, 8, 567, 688, 695, 698, 159, 199]",[12],"[84, 191, 148]"
287,AON1,1,396,160,"Anterior olfactory nucleus, layer 1","[997, 8, 567, 688, 695, 698, 159, 160]",[12],"[84, 191, 148]"
288,TT,1,398,589,Taenia tecta,"[997, 8, 567, 688, 695, 698, 589]","[112905828, 688152358, 691663206, 687527945, 10, 12, 184527634, 167587189, 114512891]","[98, 208, 159]"
289,TTd,1,399,597,"Taenia tecta, dorsal part","[997, 8, 567, 688, 695, 698, 589, 597]","[184527634, 12, 691663206]","[98, 208, 159]"
290,TTd1,1,401,1034,"Taenia tecta, dorsal part, layer 1","[997, 8, 567, 688, 695, 698, 589, 597, 1034]",[12],"[98, 208, 159]"
291,TTd2,1,402,1042,"Taenia tecta, dorsal part, layer 2","[997, 8, 567, 688, 695, 698, 589, 597, 1042]",[12],"[98, 208, 159]"
292,TTd3,1,403,1050,"Taenia tecta, dorsal part, layer 3","[997, 8, 567, 688, 695, 698, 589, 597, 1050]",[12],"[98, 208, 159]"
293,TTd4,1,404,1059,"Taenia tecta, dorsal part, layer 4","[997, 8, 567, 688, 695, 698, 589, 597, 1059]",[12],"[98, 208, 159]"
294,TTv,1,405,605,"Taenia tecta, ventral part","[997, 8, 567, 688, 695, 698, 589, 605]","[184527634, 12, 691663206]","[98, 208, 159]"
295,TTv1,1,407,1067,"Taenia tecta, ventral part, layer 1","[997, 8, 567, 688, 695, 698, 589, 605, 1067]",[12],"[98, 208, 159]"
296,TTv2,1,408,1075,"Taenia tecta, ventral part, layer 2","[997, 8, 567, 688, 695, 698, 589, 605, 1075]",[12],"[98, 208, 159]"
297,TTv3,1,409,1082,"Taenia tecta, ventral part, layer 3","[997, 8, 567, 688, 695, 698, 589, 605, 1082]",[12],"[98, 208, 159]"
298,DP,1,410,814,Dorsal peduncular area,"[997, 8, 567, 688, 695, 698, 814]","[112905828, 688152358, 691663206, 687527945, 12, 184527634, 167587189, 114512891]","[164, 218, 164]"
299,DP1,1,411,496,"Dorsal peduncular area, layer 1","[997, 8, 567, 688, 695, 698, 814, 496]",[12],"[164, 218, 164]"
300,DP2/3,1,413,360,"Dorsal peduncular area, layer 2/3","[997, 8, 567, 688, 695, 698, 814, 360]",[12],"[164, 218, 164]"
301,DP5,1,414,646,"Dorsal peduncular area, layer 5","[997, 8, 567, 688, 695, 698, 814, 646]",[12],"[164, 218, 164]"
302,DP6a,1,415,267,"Dorsal peduncular area, layer 6a","[997, 8, 567, 688, 695, 698, 814, 267]",[12],"[164, 218, 164]"
303,PIR,1,416,961,Piriform area,"[997, 8, 567, 688, 695, 698, 961]","[112905828, 691663206, 688152358, 687527945, 10, 12, 184527634, 112905813, 167587189, 114512891]","[106, 203, 186]"
304,PIR1,1,418,276,"Piriform area, molecular layer","[997, 8, 567, 688, 695, 698, 961, 276]",[12],"[106, 203, 186]"
